stars;acc;pp
0.01;0.01;[[2.3253818]]
0.02;0.01;[[2.261993]]
0.03;0.01;[[2.198591]]
0.04;0.01;[[2.2224236]]
0.05;0.01;[[2.2585163]]
0.06;0.01;[[2.294608]]
0.07;0.01;[[2.330707]]
0.08;0.01;[[2.366797]]
0.09;0.01;[[2.4028893]]
0.1;0.01;[[2.4389868]]
0.11;0.01;[[2.475082]]
0.12;0.01;[[2.5111732]]
0.13;0.01;[[2.5472698]]
0.14;0.01;[[2.583364]]
0.15;0.01;[[2.619458]]
0.16;0.01;[[2.6555574]]
0.17;0.01;[[2.69165]]
0.18;0.01;[[2.727742]]
0.19;0.01;[[2.7638354]]
0.2;0.01;[[2.813028]]
0.21;0.01;[[2.8771405]]
0.22;0.01;[[2.9412613]]
0.23;0.01;[[3.0053747]]
0.24;0.01;[[3.0694885]]
0.25;0.01;[[3.1336093]]
0.26;0.01;[[3.1977253]]
0.27;0.01;[[3.2618403]]
0.28;0.01;[[3.3259597]]
0.29;0.01;[[3.3900752]]
0.3;0.01;[[3.3916764]]
0.31;0.01;[[3.3882318]]
0.32;0.01;[[3.3847947]]
0.33;0.01;[[3.381342]]
0.34;0.01;[[3.3778985]]
0.35;0.01;[[3.374454]]
0.36;0.01;[[3.3710098]]
0.37;0.01;[[3.3675604]]
0.38;0.01;[[3.3641205]]
0.39;0.01;[[3.3606703]]
0.4;0.01;[[3.3572273]]
0.41;0.01;[[3.3537836]]
0.42;0.01;[[3.3503375]]
0.43;0.01;[[3.3468919]]
0.44;0.01;[[3.3434439]]
0.45;0.01;[[3.3400013]]
0.46;0.01;[[3.3365543]]
0.47;0.01;[[3.3331091]]
0.48;0.01;[[3.3296633]]
0.49;0.01;[[3.3282065]]
0.5;0.01;[[3.3282785]]
0.51;0.01;[[3.32835]]
0.52;0.01;[[3.32842]]
0.53;0.01;[[3.3284926]]
0.54;0.01;[[3.3285675]]
0.55;0.01;[[3.3286395]]
0.56;0.01;[[3.3287048]]
0.57;0.01;[[3.3287802]]
0.58;0.01;[[3.3288543]]
0.59;0.01;[[3.3289254]]
0.6;0.01;[[3.3289955]]
0.61;0.01;[[3.329069]]
0.62;0.01;[[3.3291392]]
0.63;0.01;[[3.3292115]]
0.64;0.01;[[3.329283]]
0.65;0.01;[[3.3293502]]
0.66;0.01;[[3.3294296]]
0.67;0.01;[[3.3294957]]
0.68;0.01;[[3.3295739]]
0.69;0.01;[[3.3296368]]
0.7;0.01;[[3.3297148]]
0.71;0.01;[[3.3297818]]
0.72;0.01;[[3.3298576]]
0.73;0.01;[[3.3299303]]
0.74;0.01;[[3.3299973]]
0.75;0.01;[[3.3300693]]
0.76;0.01;[[3.372201]]
0.77;0.01;[[3.459526]]
0.78;0.01;[[3.5468414]]
0.79;0.01;[[3.63416]]
0.8;0.01;[[3.7214744]]
0.81;0.01;[[3.8087978]]
0.82;0.01;[[3.8961203]]
0.83;0.01;[[3.9834383]]
0.84;0.01;[[4.070759]]
0.85;0.01;[[4.1580734]]
0.86;0.01;[[4.245393]]
0.87;0.01;[[4.3327103]]
0.88;0.01;[[4.420033]]
0.89;0.01;[[4.507353]]
0.9;0.01;[[4.5946712]]
0.91;0.01;[[4.681995]]
0.92;0.01;[[4.7693043]]
0.93;0.01;[[4.8566313]]
0.94;0.01;[[4.9439416]]
0.95;0.01;[[5.031266]]
0.96;0.01;[[5.1185846]]
0.97;0.01;[[5.2059]]
0.98;0.01;[[5.293223]]
0.99;0.01;[[5.3805423]]
0.01;0.02;[[2.4550476]]
0.02;0.02;[[2.3914008]]
0.03;0.02;[[2.3280072]]
0.04;0.02;[[2.2646186]]
0.05;0.02;[[2.2012272]]
0.06;0.02;[[2.2209275]]
0.07;0.02;[[2.2570195]]
0.08;0.02;[[2.2931185]]
0.09;0.02;[[2.3292077]]
0.1;0.02;[[2.3653045]]
0.11;0.02;[[2.4013972]]
0.12;0.02;[[2.4374888]]
0.13;0.02;[[2.473579]]
0.14;0.02;[[2.5096803]]
0.15;0.02;[[2.5457783]]
0.16;0.02;[[2.5818663]]
0.17;0.02;[[2.6179597]]
0.18;0.02;[[2.6540568]]
0.19;0.02;[[2.6901488]]
0.2;0.02;[[2.7262444]]
0.21;0.02;[[2.7623453]]
0.22;0.02;[[2.810367]]
0.23;0.02;[[2.8744874]]
0.24;0.02;[[2.9386091]]
0.25;0.02;[[3.002712]]
0.26;0.02;[[3.0668395]]
0.27;0.02;[[3.1309533]]
0.28;0.02;[[3.1950655]]
0.29;0.02;[[3.2591848]]
0.3;0.02;[[3.3233025]]
0.31;0.02;[[3.3874168]]
0.32;0.02;[[3.3918235]]
0.33;0.02;[[3.388379]]
0.34;0.02;[[3.3849368]]
0.35;0.02;[[3.3814898]]
0.36;0.02;[[3.378043]]
0.37;0.02;[[3.3745956]]
0.38;0.02;[[3.3711505]]
0.39;0.02;[[3.3677075]]
0.4;0.02;[[3.3642578]]
0.41;0.02;[[3.360814]]
0.42;0.02;[[3.3573718]]
0.43;0.02;[[3.353927]]
0.44;0.02;[[3.3504777]]
0.45;0.02;[[3.3470373]]
0.46;0.02;[[3.3435874]]
0.47;0.02;[[3.3401413]]
0.48;0.02;[[3.3366973]]
0.49;0.02;[[3.333252]]
0.5;0.02;[[3.3298054]]
0.51;0.02;[[3.3282027]]
0.52;0.02;[[3.328277]]
0.53;0.02;[[3.3283465]]
0.54;0.02;[[3.3284206]]
0.55;0.02;[[3.3284888]]
0.56;0.02;[[3.3285637]]
0.57;0.02;[[3.3286324]]
0.58;0.02;[[3.3287084]]
0.59;0.02;[[3.3287795]]
0.6;0.02;[[3.3288527]]
0.61;0.02;[[3.3289185]]
0.62;0.02;[[3.3289964]]
0.63;0.02;[[3.3290672]]
0.64;0.02;[[3.3291364]]
0.65;0.02;[[3.3292105]]
0.66;0.02;[[3.3292768]]
0.67;0.02;[[3.329352]]
0.68;0.02;[[3.3294182]]
0.69;0.02;[[3.3294957]]
0.7;0.02;[[3.3295624]]
0.71;0.02;[[3.3296406]]
0.72;0.02;[[3.3297098]]
0.73;0.02;[[3.3297794]]
0.74;0.02;[[3.3298535]]
0.75;0.02;[[3.3299263]]
0.76;0.02;[[3.3299987]]
0.77;0.02;[[3.3300722]]
0.78;0.02;[[3.3685818]]
0.79;0.02;[[3.4559088]]
0.8;0.02;[[3.5432253]]
0.81;0.02;[[3.6305454]]
0.82;0.02;[[3.7178648]]
0.83;0.02;[[3.8051815]]
0.84;0.02;[[3.892496]]
0.85;0.02;[[3.9798214]]
0.86;0.02;[[4.0671396]]
0.87;0.02;[[4.1544576]]
0.88;0.02;[[4.2417793]]
0.89;0.02;[[4.3290954]]
0.9;0.02;[[4.4164195]]
0.91;0.02;[[4.5037336]]
0.92;0.02;[[4.5910535]]
0.93;0.02;[[4.6783676]]
0.94;0.02;[[4.7656927]]
0.95;0.02;[[4.8530054]]
0.96;0.02;[[4.9403286]]
0.97;0.02;[[5.0276504]]
0.98;0.02;[[5.114966]]
0.99;0.02;[[5.2022886]]
0.01;0.03;[[2.58502]]
0.02;0.03;[[2.5209405]]
0.03;0.03;[[2.4574256]]
0.04;0.03;[[2.3940253]]
0.05;0.03;[[2.330634]]
0.06;0.03;[[2.2672396]]
0.07;0.03;[[2.2038522]]
0.08;0.03;[[2.219429]]
0.09;0.03;[[2.2555242]]
0.1;0.03;[[2.2916179]]
0.11;0.03;[[2.3277116]]
0.12;0.03;[[2.363805]]
0.13;0.03;[[2.399906]]
0.14;0.03;[[2.435995]]
0.15;0.03;[[2.4720907]]
0.16;0.03;[[2.5081887]]
0.17;0.03;[[2.5442743]]
0.18;0.03;[[2.5803738]]
0.19;0.03;[[2.6164658]]
0.2;0.03;[[2.652563]]
0.21;0.03;[[2.6886532]]
0.22;0.03;[[2.7247553]]
0.23;0.03;[[2.760846]]
0.24;0.03;[[2.8077116]]
0.25;0.03;[[2.871829]]
0.26;0.03;[[2.9359426]]
0.27;0.03;[[3.0000634]]
0.28;0.03;[[3.0641794]]
0.29;0.03;[[3.1282973]]
0.3;0.03;[[3.1924167]]
0.31;0.03;[[3.256528]]
0.32;0.03;[[3.3206449]]
0.33;0.03;[[3.3847604]]
0.34;0.03;[[3.3919635]]
0.35;0.03;[[3.3885238]]
0.36;0.03;[[3.3850749]]
0.37;0.03;[[3.3816361]]
0.38;0.03;[[3.3781843]]
0.39;0.03;[[3.3747358]]
0.4;0.03;[[3.371292]]
0.41;0.03;[[3.3678455]]
0.42;0.03;[[3.364402]]
0.43;0.03;[[3.3609548]]
0.44;0.03;[[3.3575141]]
0.45;0.03;[[3.3540652]]
0.46;0.03;[[3.3506222]]
0.47;0.03;[[3.347175]]
0.48;0.03;[[3.3437326]]
0.49;0.03;[[3.3402853]]
0.5;0.03;[[3.3368428]]
0.51;0.03;[[3.3333952]]
0.52;0.03;[[3.3299503]]
0.53;0.03;[[3.3282022]]
0.54;0.03;[[3.328271]]
0.55;0.03;[[3.3283448]]
0.56;0.03;[[3.3284128]]
0.57;0.03;[[3.3284879]]
0.58;0.03;[[3.3285596]]
0.59;0.03;[[3.3286343]]
0.6;0.03;[[3.328704]]
0.61;0.03;[[3.3287723]]
0.62;0.03;[[3.328843]]
0.63;0.03;[[3.3289194]]
0.64;0.03;[[3.3289897]]
0.65;0.03;[[3.3290644]]
0.66;0.03;[[3.3291354]]
0.67;0.03;[[3.3292072]]
0.68;0.03;[[3.3292785]]
0.69;0.03;[[3.3293493]]
0.7;0.03;[[3.329417]]
0.71;0.03;[[3.3294904]]
0.72;0.03;[[3.3295634]]
0.73;0.03;[[3.3296356]]
0.74;0.03;[[3.3297088]]
0.75;0.03;[[3.3297758]]
0.76;0.03;[[3.3298512]]
0.77;0.03;[[3.3299196]]
0.78;0.03;[[3.3299968]]
0.79;0.03;[[3.3300638]]
0.8;0.03;[[3.3649707]]
0.81;0.03;[[3.452284]]
0.82;0.03;[[3.5396113]]
0.83;0.03;[[3.626925]]
0.84;0.03;[[3.7142463]]
0.85;0.03;[[3.8015585]]
0.86;0.03;[[3.8888848]]
0.87;0.03;[[3.9762082]]
0.88;0.03;[[4.0635195]]
0.89;0.03;[[4.1508436]]
0.9;0.03;[[4.2381535]]
0.91;0.03;[[4.3254776]]
0.92;0.03;[[4.412797]]
0.93;0.03;[[4.5001183]]
0.94;0.03;[[4.58743]]
0.95;0.03;[[4.674757]]
0.96;0.03;[[4.762079]]
0.97;0.03;[[4.849388]]
0.98;0.03;[[4.936714]]
0.99;0.03;[[5.0240307]]
0.01;0.04;[[2.714963]]
0.02;0.04;[[2.650766]]
0.03;0.04;[[2.5869522]]
0.04;0.04;[[2.5234356]]
0.05;0.04;[[2.4600368]]
0.06;0.04;[[2.3966517]]
0.07;0.04;[[2.3332577]]
0.08;0.04;[[2.2698646]]
0.09;0.04;[[2.2064698]]
0.1;0.04;[[2.217939]]
0.11;0.04;[[2.2540247]]
0.12;0.04;[[2.2901206]]
0.13;0.04;[[2.3262196]]
0.14;0.04;[[2.3623133]]
0.15;0.04;[[2.3984058]]
0.16;0.04;[[2.434501]]
0.17;0.04;[[2.4705977]]
0.18;0.04;[[2.5066857]]
0.19;0.04;[[2.5427873]]
0.2;0.04;[[2.5788834]]
0.21;0.04;[[2.6149724]]
0.22;0.04;[[2.6510677]]
0.23;0.04;[[2.6871624]]
0.24;0.04;[[2.723255]]
0.25;0.04;[[2.7593455]]
0.26;0.04;[[2.8050632]]
0.27;0.04;[[2.8691666]]
0.28;0.04;[[2.9332929]]
0.29;0.04;[[2.9974155]]
0.3;0.04;[[3.061518]]
0.31;0.04;[[3.12564]]
0.32;0.04;[[3.1897602]]
0.33;0.04;[[3.2538757]]
0.34;0.04;[[3.3179853]]
0.35;0.04;[[3.3821087]]
0.36;0.04;[[3.392106]]
0.37;0.04;[[3.388661]]
0.38;0.04;[[3.3852217]]
0.39;0.04;[[3.3817697]]
0.4;0.04;[[3.3783276]]
0.41;0.04;[[3.3748827]]
0.42;0.04;[[3.3714378]]
0.43;0.04;[[3.367989]]
0.44;0.04;[[3.36455]]
0.45;0.04;[[3.3611012]]
0.46;0.04;[[3.357658]]
0.47;0.04;[[3.3542097]]
0.48;0.04;[[3.3507607]]
0.49;0.04;[[3.347319]]
0.5;0.04;[[3.3438745]]
0.51;0.04;[[3.3404305]]
0.52;0.04;[[3.3369794]]
0.53;0.04;[[3.3335397]]
0.54;0.04;[[3.3300893]]
